#{"t_start": 1541001686.6930947, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
21.0,652,5227.87344
138.0,1395,5254.714611
350.0,1673,5286.730065
104.0,1515,5315.797372
158.0,1615,5346.349164
259.0,1753,5379.80615
56.0,1174,5401.869549
306.0,2020,5440.368433
159.0,1412,5467.242278
349.0,1648,5498.483174
318.0,2032,5537.157234
242.0,1470,5565.251228
99.0,1304,5589.901731
194.0,1767,5622.93684
381.0,1990,5660.696378
70.0,1461,5688.514395
365.0,1780,5722.075415
325.0,1753,5755.450689
361.0,1868,5790.83356
355.0,3109,5850.33756
326.0,1676,5881.745714
377.0,1643,5912.699102
321.0,2785,5966.030043
333.0,1718,5998.327113
387.0,1905,6034.760803
308.0,1984,6072.15347
328.0,1750,6105.142293
380.0,2351,6149.414338
175.0,1578,6179.526509
373.0,2535,6227.845429
367.0,1893,6263.308737
113.0,1659,6294.674633
413.0,2322,6339.012185
285.0,2193,6380.307198
328.0,1748,6413.661466
380.0,2158,6454.42224
67.0,1364,6480.504157
417.0,2308,6523.921082
355.0,2063,6563.266978
339.0,1986,6601.148299
81.0,1194,6623.556449
382.0,2153,6663.875294
242.0,1656,6695.318616
372.0,2249,6738.134363
257.0,1688,6769.686724
41.0,799,6784.687374
429.0,2054,6823.17039
412.0,2417,6868.848358
324.0,1672,6900.570809
328.0,1858,6935.980311
388.0,2382,6981.023279
389.0,1746,7013.907872
409.0,1789,7047.583342
90.0,1485,7075.914608
398.0,3350,7138.990386
142.0,1439,7166.305911
366.0,1849,7201.207731
360.0,2273,7243.872087
413.0,1983,7281.322022
428.0,2355,7326.341884
402.0,2091,7365.905705
410.0,2290,7409.014299
413.0,3357,7472.590182
528.0,4796,7563.500346
430.0,3046,7621.272589
218.0,2026,7659.253872
424.0,1813,7693.214396
315.0,2036,7731.532911
341.0,3720,7801.947016
395.0,2466,7848.739716
424.0,4898,7941.937401
396.0,3675,8011.596497
421.0,4706,8100.450583
141.0,1362,8126.119281
404.0,1912,8162.5265
426.0,2584,8211.349123
420.0,2517,8259.074418
290.0,1839,8293.961519
427.0,2451,8339.829166
419.0,2770,8392.264004
402.0,2394,8437.778038
380.0,2756,8490.25184
421.0,2623,8539.924389
428.0,3072,8598.050916
358.0,2333,8642.383354
391.0,2152,8683.113424
408.0,2192,8724.836012
297.0,1683,8756.746808
428.0,3907,8830.568846
286.0,1933,8866.707406
390.0,2185,8907.821493
425.0,2010,8946.089487
418.0,2315,8989.986461
143.0,1631,9020.899773
413.0,2761,9073.263309
413.0,3240,9134.636967
424.0,2469,9181.157325
415.0,2919,9236.589523
358.0,2197,9278.033833
447.0,3713,9348.193673
410.0,2507,9395.550784
398.0,2284,9438.339419
345.0,2363,9482.881323
420.0,2570,9531.596998
406.0,2132,9571.760302
214.0,1752,9604.434932
428.0,4754,9694.161824
428.0,2807,9746.328589
389.0,2554,9795.091234
428.0,2473,9840.764389
423.0,2504,9887.893985
338.0,2381,9932.795071
405.0,2324,9976.802909
416.0,2371,10021.502094
405.0,2689,10072.451799
423.0,4146,10150.689702
425.0,3406,10214.830786
441.0,3943,10289.685021
515.0,3986,10364.267964
416.0,2297,10407.186548
399.0,2358,10451.794968
419.0,3035,10509.242895
176.0,1800,10543.507877
382.0,2329,10587.571331
425.0,2176,10628.764834
405.0,2453,10674.626731
396.0,2984,10731.30553
427.0,2231,10773.571657
396.0,2718,10824.749688
381.0,2821,10878.045624
414.0,3438,10943.569036
471.0,2443,10989.619056
413.0,2437,11035.735241
423.0,3144,11095.481067
424.0,3042,11152.861791
437.0,3459,11218.551532
436.0,3596,11286.947075
436.0,2924,11342.216705
431.0,2989,11398.585859
828.0,4481,11484.171746
375.0,2421,11530.692414
376.0,2005,11568.995388
425.0,3600,11637.190481
425.0,2725,11688.898357
315.0,1850,11723.570085
734.0,5143,11821.070033
412.0,2402,11866.45306
423.0,2868,11920.702009
828.0,4233,12000.807932
157.0,2054,12039.345991
426.0,3052,12096.727163
428.0,3471,12162.17559
411.0,2230,12204.279834
454.0,3188,12264.535651
397.0,2153,12305.392173
421.0,2508,12353.242608
2.0,188,12356.552285
421.0,4443,12440.865684
428.0,5004,12535.295026
369.0,2056,12574.440925
414.0,3476,12640.640798
475.0,3288,12703.144567
416.0,3347,12766.473278
420.0,2959,12822.757164
401.0,2278,12866.639526
409.0,3174,12927.098295
438.0,2846,12981.530903
428.0,3549,13049.041247
372.0,2039,13088.131989
522.0,3827,13159.724182
314.0,1810,13194.585852
407.0,2531,13242.596803
417.0,2766,13294.953836
423.0,3093,13353.279181
418.0,2341,13397.880242
